4660 MARTIN LUTHER KING JR AVENUE #B501,SW,20032,1/9/2025,Unnamed: 0
3700 9TH STREET #811,SE,20032,1/9/2025,
49 GALVESTON STREET #102,SW,20032,1/9/2025,
301 G STREET #605,SW,20024,1/9/2025,
301 G STREET #525,SW,20024,1/9/2025,
301 G STREET #233,SW,20024,1/9/2025,
301 G STREET #714,SW,20024,1/9/2025,
1800 MINNESOTA AVENUE UNIT 201,SE,20020,1/9/2025,
1210 SOUTHERN AVENUE #303,SE,20032,1/9/2025,
3432 25TH STREET UNIT 22,SE,20020,1/9/2025,
2323 PENNSYLVANIA AVE UNIT 209,SE,20020,1/9/2025,
2323 PENNSYLVANIA AVENUE UNIT 509,SE,20020,1/9/2025,
"331 N STREET, #815",NE,20002,1/10/2025,
"3686 HAYES STREET, #202",NE,20019,1/10/2025,
"3695 JAY STREET, #201",NE,20019,1/10/2025,
"3576 HAYES STREET, #202",NE,20019,1/10/2025,
"3680 HAYES STREET, #201",NE,20019,1/10/2025,
601 EDGEWOOD STREET #510,NE,20017,1/10/2025,
635 EDGEWOOD STREET #106,NE,20017,1/10/2025,
3801 JAY STREET #5,NE,20019,1/10/2025,
908 EASTERN AVENUE UNIT 302,NE,20019,1/10/2025,
3683 JAY STREET UNIT 101,NE,20019,1/10/2025,
3519 JAY STREET UNIT 203,NE,20019,1/10/2025,
318 I STREET #103,NE,20002,1/10/2025,
55 M STREET #310,NE,20002,1/10/2025,
55 M STREET #1024,NE,20002,1/10/2025,
1320 4TH STREET #901,NE,20002,1/10/2025,
5201 HAYES STREET #LL15,NE,20019,1/10/2025,
718 21ST STREET APT #229,NE,20002,1/10/2025,
5024 FORT TOTTEN #102,NE,20011,1/10/2025,
410 RHODE ISLAND #PH01,NE,20002,1/10/2025,
410 RHODE ISLAND #610,NE,20002,1/10/2025,
3431 BENNING ROAD,NE,20019,1/13/2025,
120 36TH ST,NE,20019,1/13/2025,
608 EMERSON ST,NE,20017,1/13/2025,
225 56TH PLACE,NE,20019,1/13/2025,
625 H STREET #808,NE,20002,1/13/2025,
5166 7TH STREET,NE,20011,1/13/2025,
905 21ST STREET UNIT 201,NE,20002,1/13/2025,
2106 I STREET UNIT 202,NE,20002,1/13/2025,
867 21ST STREET UNIT J,NE,20002,1/13/2025,
323 62ND STREET #209,NE,20019,1/13/2025,
600 KENILWORTH TER #508,NE,20019,1/13/2025,
3773 JAY STREET #1,NE,20019,1/13/2025,
1412 DOWNING STREET #3,NE,20018,1/13/2025,
901 H STREET UNIT 565,NE,20002,1/13/2025,
846 21ST STREET UNIT 9,NE,20002,1/13/2025,
