7367-24,2681 DOUGLASS ROAD UNIT 104,SE
6782-24,2219 TOWN CENTER DRIVE UNIT 377,SE
7611-24,1331 4TH ST #916,SE
7603-24,4341 4TH STREET UNIT 1,SE
11762-23,4040 LIVINGSTON ROAD UNIT 101,SE
11630-23,4808 3RD STREET #3,NW
1115-24,307 K STREET #511,NW
4585-24,1701 16TH ST UNIT 418,NW
2842-23,6925 MAPLE STREET #M004,NW
2572-24,40 BRYANT ST,NW
5246-24,1664 PARK ROAD #2,NW
5949-24,1312 COLUMBIA RD #301,NW
3207-24,1200 NORTH CAPITOL STREET #C112,NW
3242-24,1200 NORTH CAPITOL STREET #A109,NW
6512-23,1010 MASSACHUSETTS AVENUE GROUND FLOOR,NW
11514-23,3636 16TH STREET UNIT B542,NW
7455-24,3726 CONNECTICUT AVENUE UNIT 412,NW
6218-23,2728 PORTER STREET UNIT 1,NW
11637-23,2535 13TH ST #305 ROOM 2,NW
8262-24,3118-3120 16TH STREET #13,NW
7238-24,1200 NORTH CAPITOL ST #B508,NW
5894-24,27 O STREET #318,NW
5906-24,27 O STREET #208,NW
5904-24,27 O STREET #104,NW
5907-24,27 O STREET #325,NW
9556-22,42 GALVESTON STREET UNIT T2,SW
3527-24,4001 SOUTH CAPITOL STREET UNIT 327,SW
8836-22,4001 SOUTH CAPITOL STREET UNIT 310,SW
7587-24,350 MAPLE DRIVE #0906,SW
7573-24,350 MAPLE DRIVE #0923,SW
2696-23,200 M STREET UNIT 36,SW
1705-24,151 JOILET STREET #302,SW
7149-24,2558 NAYLOR ROAD #302,SE
7860-24,2632 MARTIN LUTHER KING JR. AVE #215,SE
